"","CASE_ENQUIRY_ID","open_dt","target_dt","closed_dt","OnTime_Status","CASE_STATUS","CLOSURE_REASON","CASE_TITLE","SUBJECT","REASON","TYPE","QUEUE","Department","SubmittedPhoto","ClosedPhoto","Location","Fire_district","pwd_district","city_council_district","police_district","neighborhood","neighborhood_services_district","ward","precinct","LOCATION_STREET_NAME","LOCATION_ZIPCODE","Latitude","Longitude","Source"
"1",101002327892,2018-01-14 15:50:00,2018-02-13 15:50:32,NA,"ONTIME","Open",NA,"Heat - Excessive  Insufficient","Inspectional Services","Housing","Heat - Excessive  Insufficient","ISD_Housing (INTERNAL)","ISD",NA,NA,"2 Ayr Rd  Brighton  MA  02135",11,"04",9,"D14","Allston / Brighton",15,"Ward 21","2114","2 Ayr Rd","02135",42.3371,-71.1487,"Constituent Call"
"2",101002327861,2018-01-14 15:06:00,2018-02-13 15:06:21,NA,"ONTIME","Open",NA,"Heat - Excessive  Insufficient","Inspectional Services","Housing","Heat - Excessive  Insufficient","ISD_Housing (INTERNAL)","ISD",NA,NA,"38 Annunciation Rd  Mission Hill  MA  02120",9,"10A",7,"B2","Mission Hill",13,"Ward 4","0409","38 Annunciation Rd","02120",42.3352,-71.0919,"Constituent Call"
"3",101002327791,2018-01-14 13:39:00,2018-02-13 13:39:48,NA,"ONTIME","Open",NA,"Heat - Excessive  Insufficient","Inspectional Services","Housing","Heat - Excessive  Insufficient","ISD_Housing (INTERNAL)","ISD",NA,NA,"506 Norfolk St  Mattapan  MA  02126",8,"07",4,"B3","Greater Mattapan",9,"Ward 18","1802","506 Norfolk St","02126",42.2791,-71.0891,"Constituent Call"
"4",101002327730,2018-01-14 12:03:00,2018-02-13 12:03:58,NA,"ONTIME","Open",NA,"Heat - Excessive  Insufficient","Inspectional Services","Housing","Heat - Excessive  Insufficient","ISD_Housing (INTERNAL)","ISD",NA,NA,"4 E Brookline St  Roxbury  MA  02118",4,"1C",2,"D4","South End",6,"Ward 8","0801","4 E Brookline St","02118",42.3393,-71.0718,"Constituent Call"
"5",101002327708,2018-01-14 11:45:00,2018-02-13 11:45:45,NA,"ONTIME","Open",NA,"Heat - Excessive  Insufficient","Inspectional Services","Housing","Heat - Excessive  Insufficient","ISD_Housing (INTERNAL)","ISD",NA,NA,"34 Robeson St  Jamaica Plain  MA  02130",9,"02",6,"E13","Jamaica Plain",11,"Ward 11","1107","34 Robeson St","02130",42.3099,-71.1007,"Constituent Call"
"6",101002327657,2018-01-14 10:51:00,2018-02-13 10:51:21,NA,"ONTIME","Open",NA,"Heat - Excessive  Insufficient","Inspectional Services","Housing","Heat - Excessive  Insufficient","ISD_Housing (INTERNAL)","ISD",NA,NA,"804 E Seventh St  South Boston  MA  02127",6,"05",2,"C6","South Boston / South Boston Waterfront",5,"Ward 6","0609","804 E Seventh St","02127",42.3327,-71.028,"Constituent Call"
"7",101002327647,2018-01-14 10:34:00,2018-02-13 10:34:27,NA,"ONTIME","Open",NA,"Heat - Excessive  Insufficient","Inspectional Services","Housing","Heat - Excessive  Insufficient","ISD_Housing (INTERNAL)","ISD",NA,NA,"15 Waumbeck St  Dorchester  MA  02121",9,"10B",7,"B2","Roxbury",13,"Ward 12","1202","15 Waumbeck St","02121",42.3138,-71.085,"Constituent Call"
"8",101002327619,2018-01-14 09:56:00,2018-02-13 09:56:16,NA,"ONTIME","Open",NA,"Heat - Excessive  Insufficient","Inspectional Services","Housing","Heat - Excessive  Insufficient","ISD_Housing (INTERNAL)","ISD",NA,NA,"155 Poplar St  Roslindale  MA  02131",12,"06",5,"E5","Roslindale",10,"Ward 18","1810","155 Poplar St","02131",42.2829,-71.1283,"Constituent Call"
"9",101002327603,2018-01-14 09:33:00,2018-02-13 09:33:46,NA,"ONTIME","Open",NA,"Heat - Excessive  Insufficient","Inspectional Services","Housing","Heat - Excessive  Insufficient","ISD_Housing (INTERNAL)","ISD",NA,NA,"3 Henry Sterling Sq  South Boston  MA  02127",6,"05",2,"C6","South Boston / South Boston Waterfront",5,"Ward 7","0707","3 Henry Sterling Sq","02127",42.3265,-71.0547,"Constituent Call"
"10",101002327589,2018-01-14 09:18:00,2018-02-13 09:18:35,NA,"ONTIME","Open",NA,"Heat - Excessive  Insufficient","Inspectional Services","Housing","Heat - Excessive  Insufficient","ISD_Housing (INTERNAL)","ISD",NA,NA,"6 Park View St  Dorchester  MA  02121",9,"10B",7,"B2","Roxbury",13,"Ward 12","1207","6 Park View St","02121",42.3114,-71.0919,"Constituent Call"
"11",101002327564,2018-01-14 08:45:00,2018-02-13 08:45:19,NA,"ONTIME","Open",NA,"Heat - Excessive  Insufficient","Inspectional Services","Housing","Heat - Excessive  Insufficient","ISD_Housing (INTERNAL)","ISD",NA,NA,"10 Buckley Ave  Jamaica Plain  MA  02130",9,"10A",6,"E13","Jamaica Plain",11,"Ward 10","1007","10 Buckley Ave","02130",42.3223,-71.1037,"Constituent Call"
"12",101002326966,2018-01-13 11:08:00,2018-02-12 11:08:25,NA,"ONTIME","Open",NA,"Heat - Excessive  Insufficient","Inspectional Services","Housing","Heat - Excessive  Insufficient","ISD_Housing (INTERNAL)","ISD",NA,NA,"53 Stanwood St  Dorchester  MA  02121",7,"03",4,"B2","Roxbury",13,"Ward 14","1401","53 Stanwood St","02121",42.3089,-71.0799,"Constituent Call"
"13",101002326550,2018-01-12 19:02:00,2018-02-11 19:02:40,NA,"ONTIME","Open",NA,"Heat - Excessive  Insufficient","Inspectional Services","Housing","Heat - Excessive  Insufficient","ISD_Housing (INTERNAL)","ISD",NA,NA,"215 Belgrade Ave  Roslindale  MA  02131",9,"06",5,"E5","Roslindale",10,"Ward 20","2008","215 Belgrade Ave","02131",42.2863,-71.1399,"Constituent Call"
"14",101002326458,2018-01-12 17:18:00,2018-02-11 17:18:48,2018-01-12 18:14:29,"ONTIME","Closed","Case Closed. Closed date : 2018-01-12 18:14:29.357 Case Resolved Constituent stated that the property owner will have someone to repair issue in bedroom.","Heat - Excessive  Insufficient","Inspectional Services","Housing","Heat - Excessive  Insufficient","ISD_Housing (INTERNAL)","ISD",NA,NA,"120 Glenville Ave  Allston  MA  02134",11,"04",9,"D14","Allston / Brighton",15,"Ward 21","2107","120 Glenville Ave","02134",42.3488,-71.1365,"Constituent Call"
"15",101002326421,2018-01-12 16:43:00,2018-02-11 16:43:21,NA,"ONTIME","Open",NA,"Heat - Excessive  Insufficient","Inspectional Services","Housing","Heat - Excessive  Insufficient","ISD_Housing (INTERNAL)","ISD",NA,NA,"297 Maverick St  East Boston  MA  02128",1,"09",1,"A7","East Boston",1,"Ward 1","0102","297 Maverick St","02128",42.3673,-71.0327,"Constituent Call"
"16",101002326204,2018-01-12 13:48:00,2018-02-11 13:48:22,NA,"ONTIME","Open",NA,"Heat - Excessive  Insufficient","Inspectional Services","Housing","Heat - Excessive  Insufficient","ISD_Housing (INTERNAL)","ISD",NA,NA,"130 Auckland St  Dorchester  MA  02125",7,"03",3,"C11","Dorchester",8,"Ward 15","1506","130 Auckland St","02125",42.3101,-71.0563,"Constituent Call"
"17",101002326037,2018-01-12 12:34:34,2018-02-11 12:34:33,NA,"ONTIME","Open",NA,"Heat - Excessive  Insufficient","Inspectional Services","Housing","Heat - Excessive  Insufficient","ISD_Housing (INTERNAL)","ISD",NA,NA,"64 Frankfort St  East Boston  MA  02128",1,"09",1,"A7","East Boston",1,"Ward 1","0102","64 Frankfort St","02128",42.3707,-71.0345,"Constituent Call"
"18",101002325697,2018-01-12 09:45:00,2018-02-11 09:45:37,NA,"ONTIME","Open",NA,"Heat - Excessive  Insufficient","Inspectional Services","Housing","Heat - Excessive  Insufficient","ISD_Housing (INTERNAL)","ISD",NA,NA,"18 Rockville Park  Roxbury  MA  02119",7,"10B",7,"B2","Roxbury",13,"12","1201","18 Rockville Park","02119",42.325,-71.0821,"Constituent Call"
"19",101002325639,2018-01-12 09:17:00,2018-02-11 09:17:43,NA,"ONTIME","Open",NA,"Heat - Excessive  Insufficient","Inspectional Services","Housing","Heat - Excessive  Insufficient","ISD_Housing (INTERNAL)","ISD",NA,NA,"99 Brunswick St  Dorchester  MA  02121",7,"03",4,"B2","Roxbury",13,"Ward 14","1401","99 Brunswick St","02121",42.3106,-71.0799,"Constituent Call"
"20",101002324701,2018-01-11 14:41:00,2018-02-10 14:41:16,NA,"ONTIME","Open",NA,"Heat - Excessive  Insufficient","Inspectional Services","Housing","Heat - Excessive  Insufficient","ISD_Housing (INTERNAL)","ISD",NA,NA,"84 Sutherland Rd  Brighton  MA  02135",11,"04",9,"D14","Allston / Brighton",15,"Ward 21","2115","84 Sutherland Rd","02135",42.3392,-71.1492,"Constituent Call"
"21",101002324669,2018-01-11 14:17:00,2018-02-10 14:17:46,NA,"ONTIME","Open",NA,"Heat - Excessive  Insufficient","Inspectional Services","Housing","Heat - Excessive  Insufficient","ISD_Housing (INTERNAL)","ISD",NA,NA,"41 Corona St  Dorchester  MA  02124",7,"03",4,"C11","Dorchester",8,"Ward 15","1505","41 Corona St","02124",42.3011,-71.0699,"Constituent Call"
"22",101002324596,2018-01-11 13:40:11,2018-02-10 13:40:11,NA,"ONTIME","Open",NA,"Heat - Excessive  Insufficient","Inspectional Services","Housing","Heat - Excessive  Insufficient","ISD_Housing (INTERNAL)","ISD",NA,NA,"51 Telegraph St  South Boston  MA  02127",6,"05",2,"C6","South Boston / South Boston Waterfront",5,"Ward 7","0704","51 Telegraph St","02127",42.3328,-71.0488,"Constituent Call"
